"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
b_mi_per,parent_brief,,text,"Metacognitive index percentile rank",,,number,0,100,,,,,
b_gec_per,parent_brief,,text,"Global executive composite percentile rank",,,number,0,100,,,,,
wmtb_digitraw,working_memory_test_battery,,text,"Digit raw score",,,integer,0,54,,,,,
wmtb_blockraw,working_memory_test_battery,,text,"Block raw score",,,integer,0,54,,,,,
wmtb_digit_ss,working_memory_test_battery,,text,"Digit standard score",,,number,50,150,,,,,
wmtb_block_ss,working_memory_test_battery,,text,"Block standard score",,,number,50,150,,,,,
wmtb_dig_span,working_memory_test_battery,,text,"Digit span score",,,integer,0,9,,,,,
wmtb_block_span,working_memory_test_battery,,text,"Block span score",,,integer,0,9,,,,,
wj18a_raw,woodcock_johnson,,text,"Quantitative concepts raw score",,,integer,0,34,,,,,
wj18b_raw,woodcock_johnson,,text,"Number series raw score",,,integer,0,23,,,,,
wjtotalraw,woodcock_johnson,,text,"Total # correct (18a+18b) raw score",,,integer,0,57,,,,,
wjstd,woodcock_johnson,,text,"Standard Score",,,number,0,200,,,,,
wrmt_wordid_raw,woodcock_reading_mastery_tests,,text,"Word Identification raw score",,,integer,0,106,,,,,
wrmt_wordid_std,woodcock_reading_mastery_tests,,text,"Word Identification standard score",,,number,0,200,,,,,
wrmt_wordid_per,woodcock_reading_mastery_tests,,text,"Word Identification percentile rank",,,number,0,100,,,,,
